Mouse replicate,Mouse,timepoint after AB application,Day,Group,KB1,log10 KB1,YL2,log10 YL2,KB18,log10 KB18,YL27,log10 YL27,YL31,log10 YL31,YL32,log10 YL32,YL44,log10 YL44,YL45,log10 YL45,I46,log10 I46,I48,log10 I48,I49,log10 I49,YL58,log10 YL58,universal,log10 universal
A,1681,TRUE,0,water,25145275.44,7.400456397,115496.67,5.062569463,8249.76,3.916441314,30119882092,10.47885327,21284386688,10.32806114,1.63E+10,1.02E+01,2.47E+11,11.39312752,10988683360,10.04094566,5.92E+09,9.77E+00,4.50E+11,11.65339584,7185542948,9.85645959,1.87E+10,1.03E+01,1.51E+14,14.17841862
B,1682,TRUE,0,water,40467836.5,7.607109987,265611.68,5.424247169,18972.26,4.278119068,36521605839,10.56254987,33713710949,10.52780656,3.28E+10,1.05E+01,2.67E+11,11.42579498,14041371679,10.14740954,9.21E+09,9.96E+00,6.08E+11,11.78421776,20167515328,10.3046524,2.98E+10,1.05E+01,1.21E+14,14.08416502
C,1683,TRUE,0,water,93063434.54,7.968779076,201342.62,5.303935716,14381.62,4.157807809,44539863510,10.64874888,31912805014,10.50396498,1.17E+10,1.01E+01,3.59E+11,11.55487785,16495713092,10.21737109,1.59E+10,1.02E+01,7.26E+11,1.19E+01,6.60E+11,11.8198097,5.59E+10,1.07E+01,1.69E+14,14.22895186
D,1684,TRUE,0,water,22423762.67,7.350708488,119275.33,5.076550627,8519.67,3.930422773,14798661000,10.17022242,10632544000,10.02663719,5.05E+09,9.70E+00,1.34E+11,11.12825383,6491134033,9.812320577,6.09E+09,9.78E+00,2.59E+11,11.41258149,10649583333,10.02733262,1.85E+10,1.03E+01,5.89E+13,13.77034013
A,1686,TRUE,0,Ciprofloxacin,58520384.27,7.767307169,149150.81,5.173625616,10653.63,4.02749761,21456408871,10.33155704,13956254032,10.14476887,3.52E+09,9.55E+00,2.29E+11,11.36013881,7647174919,9.883501024,1.26E+10,1.01E+01,3.00E+11,11.47759293,33292590726,10.52234759,3.55E+10,1.06E+01,5.79E+13,13.76301672
B,1687,TRUE,0,Ciprofloxacin,36561379.06,7.563022569,155864.59,5.192747461,11133.18,4.046619231,19883868151,10.29850087,14462007127,10.16022857,4.32E+09,9.64E+00,1.85E+11,11.26672782,7434740846,9.871265835,1.22E+10,1.01E+01,3.16E+11,11.50024334,15040932739,10.17727477,2.88E+10,1.05E+01,6.47E+13,13.81116934
C,1688,TRUE,0,Ciprofloxacin,75281827.34,7.876690152,264146.76,5.421845288,18867.63,4.275717351,48376592806,10.68463528,19641198561,10.29316799,1.86E+10,1.03E+01,2.24E+11,11.35053293,12113015827,10.08325228,1.75E+10,1.02E+01,5.25E+11,11.72023044,25169412950,10.40087309,4.03E+10,1.06E+01,1.13E+14,14.05357779
D,1689,TRUE,0,Ciprofloxacin,48226128.31,7.683282397,216468.67,5.335395049,15462.05,4.189267073,47483950000,10.67654684,17920513855,10.25335046,1.60E+10,1.02E+01,2.25E+11,11.35242758,8573705723,9.933168573,1.21E+10,1.01E+01,4.32E+11,11.6350271,5407078253,9.732962655,2.42E+10,1.04E+01,8.33E+13,13.92069453
A,1691,TRUE,0,Tetracyclin,38272199.64,7.582883423,135237.45,5.131096973,9659.82,3.984969034,32283112364,10.5089754,8508367855,9.929846258,2.19E+09,9.34E+00,1.19E+11,11.0766368,8203117600,9.913978938,7.39E+09,9.87E+00,2.31E+11,11.36354805,15281832364,10.18417543,1.56E+10,1.02E+01,3.73E+13,13.57144328
B,1692,TRUE,0,Tetracyclin,59379994.86,7.773640156,209558.84,5.321305986,14968.49,4.175177992,44980308682,10.65302243,11706855048,10.06844024,6.18E+09,9.79E+00,2.23E+11,11.34865527,9368777106,9.971682907,1.14E+10,1.01E+01,3.29E+11,11.51700841,16300684244,10.21220583,2.36E+10,1.04E+01,6.14E+13,13.78849079
