day,mouse,post_antibiotic,yl32
0,Mouse 1,True,2950416122.0
4,Mouse 1,True,84479544.0
9,Mouse 1,False,44987.05
14,Mouse 1,True,983870524.4
18,Mouse 1,True,28384745.88
23,Mouse 1,False,102965.27
30,Mouse 1,False,1291851396.0
37,Mouse 1,False,7859222109.0
44,Mouse 1,False,5268895160.0
49,Mouse 1,True,3652726338.0
53,Mouse 1,True,104170445.3
58,Mouse 1,False,319991.41
63,Mouse 1,True,6586898282.0
67,Mouse 1,True,77128738.01
72,Mouse 1,False,451426.43
79,Mouse 1,False,5173735357.0
0,Mouse 2,True,3852046906.0
4,Mouse 2,True,18678036.32
9,Mouse 2,False,36301.01
14,Mouse 2,True,4847357664.0
18,Mouse 2,True,20123258.22
23,Mouse 2,False,99602.6
30,Mouse 2,False,2111677923.0
37,Mouse 2,False,5346874973.0
44,Mouse 2,False,4700827208.0
49,Mouse 2,True,13888314435.0
53,Mouse 2,True,27788812.8
58,Mouse 2,False,177278.87
63,Mouse 2,True,4134648404.0
67,Mouse 2,True,76697027.27
72,Mouse 2,False,166837.51
79,Mouse 2,False,1898006027.0
0,Mouse 3,True,3558720000.0
4,Mouse 3,True,36711819.79
9,Mouse 3,False,33421.73
14,Mouse 3,True,964641518.3
18,Mouse 3,True,39049052.19
23,Mouse 3,False,64663.74
30,Mouse 3,False,2124230277.0
37,Mouse 3,False,5442656928.0
44,Mouse 3,False,5866574775.0
49,Mouse 3,True,5199262091.0
53,Mouse 3,True,27925610.75
58,Mouse 3,False,315420.46
63,Mouse 3,True,6755409865.0
67,Mouse 3,True,133286798.1
72,Mouse 3,False,128805.11
79,Mouse 3,False,8385320204.0
0,Mouse 4,True,1937557093.0
4,Mouse 4,True,29740814.52
9,Mouse 4,False,57029.57
14,Mouse 4,True,2217711053.0
18,Mouse 4,True,20002188.33
23,Mouse 4,False,208199.46
30,Mouse 4,False,2779409229.0
37,Mouse 4,False,13743997756.0
44,Mouse 4,False,4376801017.0
49,Mouse 4,True,3490472686.0
53,Mouse 4,True,65801919.33
58,Mouse 4,False,220164.07
63,Mouse 4,True,2252180876.0
67,Mouse 4,True,101435545.0
72,Mouse 4,False,675220.4
79,Mouse 4,False,2967158262.0
